"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"2497","Multiple endocrine neoplasia type 2a","Multiple endocrine neoplasia type 2a (MEN2a) is a type of rare genetic disorder. Patients with this form of MEN 2 may have, medullary thyroid cancer, pheochromocytoma (generally benign tumor in the adrenal glands), parathyroid adenoma (generally benign tumor of the parathyroid).","Insomnia;Pain;Anxious mood;Depressed mood;Fatigue","","<20;0;20s;0;30s;3;40s;1;50s;3;60s;0;70+;0","Female=43%;Male=57%",2497
"2498","Very long chain Acyl-CoA dehydrogenase deficiency","Very long chain acyl-coenzyme A dehydrogenase deficiency is a genetic is a condition that prevents the body from converting certain fats to energy, particularly during periods without food. Typically symptoms first appear during infancy or early childhood but in rare cases can appear later in life.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;1;60s;1;70+;0","Female=50%;Male=50%",2498
"2499","Written expression learning disability","A written expression learning disability is characterized as difficulty in the ability to put ideas into words as well as difficulty with the physical act of writing.","Depressed mood;Anxious mood;Fatigue;Insomnia;Pain","","<20;0;20s;2;30s;0;40s;2;50s;1;60s;0;70+;0","Female=60%;Male=40%",2499
"2500","Reading learning disability","A reading learning disability has various subtypes comprised of language comprehension, phonological deficit, and fluency and naming speed. Often, these subtypes overlap, or can be separate and distinct.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Hydroxyzine","<20;0;20s;2;30s;2;40s;0;50s;0;60s;0;70+;0","Female=75%;Male=25%",2500
"2501","Trochlear Dysplasia","The trochlear groove is the concave area below the knee cap. When is it dome shaped or flattened it is called Trochlear Dysplasia. This area allows for movement of the knee cap to glide downward. ","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",2501
"2502","Sandal gap","A sandal gap is characterized as a wide amount of space between the big toe and second toe.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",2502
"2503","Ocular migraine","An ocular migraine, sometimes called a retinal migraine, is characterized by vision loss in one eye that may or may not be accompanied by headache. An attack may be accompanied by other visual symptoms (e.g. flashing lights) or symptoms such as nausea, vomiting, or sensitivity to light or sound.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Oxycodone-acetaminophen;Buspirone;Clonazepam;Duloxetine;Aloe Vera;Amitriptyline;Amphetamine-Dextroamphetamine;Caffeine;Capsaicin topical;Chiropractic Therapy","<20;0;20s;7;30s;11;40s;15;50s;9;60s;7;70+;4","Female=91%;Male=9%",2503
"2504","Ethmoid sinus cyst","The ethmoid sinus is located in the area between the eyes. A cyst is a closed sac, having a distinct membrane and division on the nearby tissue. It may contain air, fluids, or semi-solid material.  Once formed, a cyst could go away on its own or may have to be removed through surgery.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2504
"2505","Tortuous aorta","A tortuous aorta may be characterized as a twisted, curved, enlarged or narrowed blood vessel of the heart. An underlying cause of the distorted shape may be due to a build up of fatty tissue that collects on the walls of the vessels or, it may be a finding from birth.","Fatigue;Insomnia;Anxious mood;Depressed mood;Pain","","<20;0;20s;0;30s;0;40s;2;50s;6;60s;5;70+;0","Female=54%;Male=46%",2505
"2506","Erythema multiforme","Erythema multiforme is a type of hypersensitivity reaction that occurs in response to medicines, infections, or illness. It causes fever, general ill feeling, joint pain, itching, and multiple skin lesions.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Gabapentin","<20;0;20s;0;30s;1;40s;2;50s;0;60s;1;70+;0","Female=100%;Male=0%",2506
"2507","Amelogenesis imperfecta","Amelogenesis imperfecta is characterized as a disorder of the teeth. The structure and appearance of the teeth may be small, discolored, pitted or grooved, and may be more apt to breakage.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","Acetaminophen (Paracetamol);Aspirin;Buprenorphine patch;Ibuprofen;Morphine;
more
;tapentadol;Tramadol;
more
","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2507
"2508","Scleromyxedema","Scleromyxedema is a type of skin condition characterized by generalized skin papules that usually occurs in association with monoclonal gammopathy.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=0%;Male=100%",2508
"2509","Lichen planus pigmentosus","Lichen planus pigmentosus is a rare form of lichen planus characterized by irregular oval shaped grayish brown marks, which often develop in areas exposed to sunlight. The lesions are typically asymptomatic or mildly itchy.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;1;50s;0;60s;1;70+;0","Female=33%;Male=67%",2509
"2510","Neuroleptic malignant syndrome","Neuroleptic malignant syndrome is a group of symptoms that occur as a reaction from antipsychotic drugs or major tranquilizers (neuroleptics). Some symptom include fever, muscle stiffness, paranoid behavior, and autonomic dysfunction (blood pressure fluctuation, sweating, excess sweating, etc.).","Fatigue;Anxious mood;Pain;Depressed mood;Insomnia","Gabapentin;
more
;Hydrocodone-Acetaminophen","<20;0;20s;1;30s;0;40s;1;50s;0;60s;0;70+;0","Female=100%;Male=0%",2510
"2511","Lymphangioma","Lymphangiomas are noncancerous congenital malformations or lesions of the lymphatic system that consist of varying size. The lesions typically develop in the head and neck region.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;4;40s;0;50s;0;60s;0;70+;0","Female=75%;Male=25%",2511
"2512","Coxsackievirus infection","Coxsackie virus is in the enterovirus family. It may cause hand, foot, and mouth disease, which typically occurs in children but can also occur in adults. The viral infection is usually self-limited and no treatment is necessary. However, it is highly contagious and preventing transmission is hard.","Anxious mood;Fatigue;Insomnia;Depressed mood;Pain","","<20;0;20s;0;30s;2;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2512
"2513","Sydenham's chorea","Sydenham's chorea is characterized by involuntary brief, random and irregular movements of the limbs and face, emotional lability, and hypotonia. It is a common site of acute rheumatic fever. However, it may also be associated with post-infectious syndromes and primary immune disorders.","Pain;Anxious mood;Fatigue;Insomnia;Depressed mood","","<20;1;20s;0;30s;0;40s;0;50s;1;60s;1;70+;1","Female=67%;Male=33%",2513
"2514","Acrodermatitis continua of Hallopeau","Acrodermatitis continua of Hallopeau is believed to be an uncommon variant of pustular psoriasis. It is characterized by pustular eruptions beginning in the fingers and toes; it may progress to pustular psoriasis. Treatment is difficult but may include both topical creams or systemic medicine.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","","<20;1;20s;0;30s;1;40s;1;50s;1;60s;0;70+;0","Female=75%;Male=25%",2514
"2515","Esophageal tear","An esophageal tear is in an injury to the lining of the esophagus. Treatment may vary depending on the severity of the injury.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",2515
"2516","Macular telangiectasis type 2","Macular Telangiectasia Type 2 is a rare bilateral neurodegenerative disorder of the macula in the eye. It causes the blood vessels in the center of the macula to dilate and leak, which can cause central vision loss. Macular edema or thickening of the macula may also occur.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;4;60s;3;70+;3","Female=80%;Male=20%",2516
"2517","Hydrosalpinx","Hydrosalpinx occurs when the fallopian tube has a blockage, causing a collection of fluid and swelling of the tube. Usually there are no symptoms, although pain can occur. Women with hydrosalpinx may have trouble with fertility.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;1;40s;1;50s;0;60s;1;70+;0","Female=75%;Male=25%",2517
"2518","Fallopian tube cancer","Fallopian tube cancer is a rare type of cancer. Symptoms are similar to other reproductive disorders (abnormal bleeding or abdominal pain), which may make the cancer harder to diagnose. Treatment is typically surgery followed by chemotherapy.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Carpal Tunnel Surgery;Lidocaine;Medical marijuana;
more
;Stopped work (left job)","<20;0;20s;0;30s;0;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2518
"2519","Indolent systemic mastocytosis","Indolent systemic mastocytosis is the presence of too many mast (mastocytes) cells in the bone marrow and skin. Mast cells are a part of the body's immune system and help to regulate allergic reactions.","Insomnia;Fatigue;Pain;Anxious mood;Depressed mood","","<20;0;20s;1;30s;1;40s;5;50s;3;60s;2;70+;2","Female=79%;Male=21%",2519
"2520","Chronic respiratory failure","Chronic respiratory failure is the inability to move oxygen to the organs and tissue in the body and the inability to remove carbon dioxide from the blood. Some chronic conditions or injuries may contribute to chronic respiratory failure.","Fatigue;Anxious mood;Insomnia;Pain;Depressed mood","Non-invasive Ventilator;Wheelchair (powered);Clonazepam;Duloxetine;Hydromorphone;Iron supplement;Medical marijuana;Naproxen Prescription;Rehabilitation Physical Therapy","<20;0;20s;1;30s;1;40s;1;50s;8;60s;3;70+;1","Female=73%;Male=27%",2520
"2521","Posterior tibial tendon dysfunction","Posterior tibial tendon dysfunction is a disorder affecting the foot, causing progressive flatfoot. The condition occurs when the tendon becomes inflamed or ruptured resulting in a lack of stability and support in the foot. Treatment includes orthotic devices, medications, and/or physical therapy.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;2;60s;1;70+;0","Female=100%;Male=0%",2521
"2522","Hemolytic anemia","Hemolytic anemia is a condition in which red blood cells are destroyed and removed from the bloodstream before their normal lifespan is over. Treatment depends on the type and cause of anemia. Folic acid and iron supplements may be needed and, in severe cases, a transfusion might be necessary.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Mirtazapine;Clonazepam;Diclofenac;Duloxetine;Fluoxetine;Hydrocodone-Acetaminophen;Lorazepam;Melatonin;Oxycodone-acetaminophen;Quetiapine","<20;0;20s;0;30s;2;40s;3;50s;2;60s;2;70+;0","Female=78%;Male=22%",2522
"2523","Alveolar soft part sarcoma","Alveolar soft part sarcoma is a rare type of cancer of the connective tissue. It is typically found as a soft painless mass in the leg or buttock region.","Anxious mood;Fatigue;Insomnia;Depressed mood;Pain","","<20;1;20s;0;30s;1;40s;1;50s;1;60s;0;70+;0","Female=50%;Male=50%",2523
"2524","Patellar tendon rupture","The patella tendon works in conjunction with the muscles the thigh to help straighten the leg.  A rupture or tear can impact range of motion in the leg, and the ability to walk.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","","<20;0;20s;2;30s;0;40s;1;50s;0;60s;0;70+;0","Female=33%;Male=67%",2524
"2525","Talcosis","Talcosis, also known as talc pneumoconiosis, is a lung disease triggered by prolonged exposure to talcum powder. Symptoms can include cough, difficulty breathing, and may progress to more severe symptoms. Exposure can either be related to inhalation or through IV drug use.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;2;40s;0;50s;1;60s;0;70+;0","Female=67%;Male=33%",2525
"2526","Ophthalmopathy","Ophthalmopathy is an autoimmune condition where the thyroid gland mistakenly senses harmful cells around the eye and releases antibodies to combat them. Symptoms can include inflammation, swelling, and redness around the eye. Treatment is focused on regulating the overactive thyroid.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Betamethasone;Diclofenac","<20;0;20s;2;30s;0;40s;2;50s;0;60s;0;70+;0","Female=75%;Male=25%",2526
"2527","Imposter syndrome","Imposter Syndrome is characterized as high achieving individuals who believe they can not live up to the expectations that others have for them. They believe their success is based on timing or luck rather than believing in one's intelligence and competence.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Codeine;Fluoxetine;Oxycodone;Tramadol;
more
","<20;0;20s;1;30s;1;40s;0;50s;0;60s;1;70+;0","Female=100%;Male=0%",2527
"2528","Atrioventricular nodal re-entry tachycardia","Atrioventricular Nodal re-entry tachycardia is a type of supraventricular tachycardia which originates somewhere above the ventricles. It is caused by abnormal circuitry in the heart, that creates a loop of overlapping signals. These signals can lead to a fast heart rate.","Depressed mood;Fatigue;Insomnia;Anxious mood;Pain","Celecoxib;
more
;Debridement;Flecainide;Gabapentin;Lateral Release;Meloxicam;Metoprolol Succinate ER;Pregabalin;
more
;Tramadol","<20;1;20s;2;30s;1;40s;4;50s;0;60s;0;70+;0","Female=63%;Male=38%",2528
"2529","Fanconi syndrome","Fanconi syndrome is a condition affecting the tubules in the kidneys in which substances usually absorbed into the bloodstream are released with the urine. It can be caused by genetic defects, Wilson's disease, certain medications, multiple myeloma, and others. Treatment depends on the condition.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;0;50s;1;60s;0;70+;0","Female=100%;Male=0%",2529
"2530","Vertebral artery compression syndrome","The vertebral artery is one of the main arteries located at the base of the neck. Vertebral artery compression syndrome is the decreased blood flow to the brain with certain head positions. The movement of the head may occlude the vertebral artery and cause dizziness, vertigo, or fainting.","Fatigue;Insomnia;Pain;Depressed mood;Anxious mood","Amitriptyline;Amphetamine-Dextroamphetamine;Aripiprazole;Hydroxyzine;Sleep Study for Sleep Apnea;Therapeutic brace;Zolpidem","<20;0;20s;0;30s;1;40s;1;50s;2;60s;0;70+;0","Female=100%;Male=0%",2530
"2531","Cerebral amyloid angiopathy","Cerebral amyloid angiopathy is characterized as protein (amyloid) build up in the arteries of the brain, which leads to an increased risk of dementia and stroke.","Fatigue;Anxious mood;Depressed mood;Insomnia;Pain","","<20;0;20s;1;30s;1;40s;0;50s;3;60s;6;70+;1","Female=67%;Male=33%",2531
"2532","Non-neurogenic neurogenic bladder dysfunction","Nonneurogenic neurogenic bladder dysfunction, also known as Hinman syndrome is characterized as uncoordinated activity in the lower urinary tract muscles. The contraction of the sphincter during voiding and overactivity of the detrusor muscle may lead to urinary frequency and incontinence.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Venlafaxine","<20;1;20s;0;30s;2;40s;0;50s;2;60s;1;70+;0","Female=50%;Male=50%",2532
